CustomerID,SignupDate,AcquisitionChannel
1156,2025-04-01,Paid Search
1157,2025-04-01,Social Media
1158,2025-05-01,Email
1159,2025-07-01,Organic
1160,2025-07-01,Email
1161,2025-11-01,Referral
1162,2025-04-01,Email
1163,2025-07-01,Organic
1164,2025-11-01,Referral
1165,2025-03-01,Email
1166,2025-06-01,Referral
1167,2025-12-01,Paid Search
1168,2025-02-01,Paid Search
1169,2025-10-01,Email
1170,2025-09-01,Referral
1171,2025-05-01,Organic
1172,2025-06-01,Email
1173,2025-12-01,Paid Search
1174,2025-12-01,Paid Search
1175,2025-12-01,Email
1176,2025-12-01,Referral
1177,2025-04-01,Paid Search
1178,2025-11-01,Referral
1179,2025-10-01,Paid Search
1180,2025-07-01,Paid Search
1181,2025-12-01,Social Media
1182,2025-09-01,Paid Search
1183,2025-07-01,Organic
1184,2025-01-01,Email
1185,2025-01-01,Email
1186,2025-09-01,Referral
1187,2025-11-01,Paid Search
1188,2025-09-01,Organic
1189,2025-04-01,Referral
1190,2025-09-01,Social Media
1191,2025-03-01,Referral
1192,2025-07-01,Referral
1193,2025-06-01,Paid Search
1194,2025-08-01,Social Media
1195,2025-11-01,Referral
1196,2025-09-01,Organic
1197,2025-05-01,Organic
1198,2025-01-01,Email
1199,2025-03-01,Social Media
1200,2025-10-01,Social Media
1201,2025-12-01,Email
1202,2025-08-01,Referral
1203,2025-11-01,Social Media
1204,2025-06-01,Organic
1205,2025-08-01,Organic
1206,2025-09-01,Paid Search
1207,2025-04-01,Social Media
1208,2025-01-01,Referral
1209,2025-01-01,Email
1210,2025-10-01,Email
1211,2025-04-01,Referral
1212,2025-12-01,Paid Search
1213,2025-07-01,Email
1214,2025-02-01,Social Media
1215,2025-03-01,Paid Search
1216,2025-01-01,Social Media
1217,2025-05-01,Organic
1218,2025-01-01,Paid Search
1219,2025-08-01,Email
1220,2025-01-01,Paid Search
1221,2025-11-01,Paid Search
1222,2025-01-01,Paid Search
1223,2025-02-01,Paid Search
1224,2025-02-01,Social Media
1225,2025-12-01,Organic
1226,2025-06-01,Referral
1227,2025-07-01,Paid Search
1228,2025-05-01,Email
1229,2025-01-01,Paid Search
1230,2025-01-01,Email
1231,2025-03-01,Social Media
1232,2025-02-01,Email
1233,2025-05-01,Referral
1234,2025-12-01,Organic
1235,2025-10-01,Email
1236,2025-06-01,Email
1237,2025-07-01,Organic
1238,2025-04-01,Referral
1239,2025-07-01,Paid Search
1240,2025-11-01,Email
1241,2025-08-01,Organic
1242,2025-11-01,Social Media
1243,2025-01-01,Organic
1244,2025-06-01,Social Media
1245,2025-08-01,Referral
1246,2025-05-01,Paid Search
1247,2025-04-01,Organic
1248,2025-02-01,Email
1249,2025-06-01,Referral
1250,2025-06-01,Organic
1251,2025-11-01,Email
1252,2025-01-01,Organic
1253,2025-09-01,Social Media
1254,2025-12-01,Organic
1255,2025-11-01,Organic
1256,2025-06-01,Organic
1257,2025-03-01,Referral
1258,2025-04-01,Organic
1259,2025-12-01,Email
1260,2025-11-01,Social Media
1261,2025-04-01,Social Media
1262,2025-03-01,Organic
1263,2025-10-01,Referral
1264,2025-03-01,Referral
1265,2025-03-01,Email
1266,2025-04-01,Organic
1267,2025-07-01,Social Media
1268,2025-04-01,Referral
1269,2025-09-01,Organic
1270,2025-01-01,Referral
1271,2025-08-01,Referral
1272,2025-07-01,Social Media
1273,2025-02-01,Paid Search
1274,2025-08-01,Email
1275,2025-01-01,Email
1276,2025-11-01,Social Media
1277,2025-12-01,Referral
1278,2025-09-01,Organic
1279,2025-09-01,Referral
1280,2025-02-01,Social Media
1281,2025-07-01,Email
1282,2025-10-01,Referral
1283,2025-03-01,Email
1284,2025-07-01,Organic
1285,2025-12-01,Email
1286,2025-10-01,Email
1287,2025-09-01,Paid Search
1288,2025-04-01,Paid Search
1289,2025-12-01,Paid Search
1290,2025-01-01,Email
1291,2025-02-01,Social Media
1292,2025-01-01,Email
1293,2025-12-01,Social Media
1294,2025-05-01,Social Media
1295,2025-05-01,Paid Search
1296,2025-11-01,Referral
1297,2025-07-01,Organic
1298,2025-09-01,Paid Search
1299,2025-09-01,Paid Search
1300,2025-03-01,Referral
